tweet_id,favorite_count,retweet_count
822462944365645825,31036,16561
822244816520155136,38017,11041
822163064745328640,0,5401
821886076407029760,12336,2628
821813639212650496,0,3744
821765923262631936,9146,1864
821522889702862852,8694,1979
821421320206483457,0,6266
821407182352777218,12806,4893
821153421864615936,276,10
821149554670182400,9488,2260
821107785811234820,10428,2391
821044531881721856,13719,2565
820837357901512704,0,7503
820749716845686786,34278,11149
820690176645140481,13262,3622
820494788566847489,0,633
820446719150292993,0,2899
820314633777061888,3621,633
820078625395449857,21486,7044
820013781606658049,0,1327
819952236453363712,5787,1327
819924195358416896,13978,5434
819711362133872643,14605,3519
819588359383371776,10386,2209
819347104292290561,7852,1348
819238181065359361,2492,453
819227688460238848,25098,7503
819015337530290176,0,41055
819015331746349057,0,21178
819006400881917954,49006,21178
819004803107983360,93766,41055
818646164899774465,0,23408
818627210458333184,24130,8350
818614493328580609,10735,2896
818588835076603904,0,6921
818536468981415936,11887,2785
818307523543449600,0,9115
818259473185828864,11972,2559
818145370475810820,13382,2919
817908911860748288,5253,887
817827839487737858,56447,30436
817777686764523521,11635,2993
817536400337801217,12839,3407
817502432452313088,0,3810
817423860136083457,37292,16884
817415592588222464,6122,1081
817181837579653120,0,9567
817171292965273600,9496,2259
817120970343411712,13211,2944
817056546584727552,9328,1855
816829038950027264,0,5313
816816676327063552,10883,2292
816697700272001025,10666,2471
816450570814898180,33299,9115
816336735214911488,9372,2199
816091915477250048,9721,2420
816062466425819140,0,1179
816014286006976512,0,5976
815990720817401858,5441,1179
815966073409433600,24498,9567
815745968457060357,0,4642
815736392542261248,10714,2551
815639385530101762,8962,1849
815390420867969024,11252,4276
814986499976527872,8321,1456
814638523311648768,12289,3049
814578408554463233,0,6553
814530161257443328,9450,2089
814153002265309185,31342,9784
813944609378369540,0,3634
813910438903693312,10122,2118
813812741911748608,39604,15777
813800681631023104,9098,1983
813217897535406080,20367,8206
813202720496779264,9990,2025
813187593374461952,21640,4916
813172488309972993,10191,2167
813157409116065792,8439,2491
